,docid,unique_words
10,950135,"['8020801:', 'visit', 'robertson']"
11,953830,"['tecnica', 'enforcement', 'reimbursable', 'official', 'pick', 'department', 'adversely', 'fit', 'limited', 'request', 'current', 'similar', 'rodriguezs', 'resources', 'venezuelas', 'interpreted', 'nicely', 'including', 'venezuelan', 'sure', 'principle', 'efforts', 'several', 'happy', 'attempting', 'aware', 'interdiction', 'society', 'common', 'contribute', 'policia', 'narcotics', 'reftel', 'reason', 'expect', 'response', 'agency', 'prepared', 'training', 'expense2', 'see', 'numbers', 'afford', 'field', 'costs', 'ship', 'expense', 'bsic', 'judicial', 'key', 'substantially', 'use', 'relationship', 'understand', 'anticipating', 'particular', 'aid', 'missions', '1', 'also', 'substantial', 'inspector', 'establish', 'venezuelans', 'relation', 'gov', 'us', 'acceptance', 'negative', 'technicians', 'operating', 'agreements', 'trained', 'requests']"
12,955014,"['develop', 'informed', 'lack', 'royal', 'took', 'appreciation', 'one', 'order', 'fill', 'helping', 'handling', 'last', 'san', 'offer', 'things', 'pro', 'official', 'however', 'vide', 'lessthanthorough', 'elected', 'greggs', 'surprised', 'cases', 'bassy', 'fully', 'president', 'visitors', 'social', 'even', 'full', 'cooperative', 'created', 'parti', 'avoid', 'felt', 'beforehand', 'ministers', 'since', 'director', 'fewer', 'planning', 'per', 'reception', 'prepared', 'minute', 'limited', 'especially', 'guidance', 'differences', 'airport', 'cool', 'aware', 'ment', 'accused', 'including', 'excellent', 'march3', 'locally', 'poor', 'hosted', 'short', 'transportation', 'government', 'country', 'gons', 'departure', 'tour', 'four', 'good', 'many', 'cre', 'following', 'apparent', 'nicaraguan', 'considerable', 'gaps', 'made', 'march', 'failed', 'performances', 'smoothly', 'well', 'brought', 'appropriate', 'dixieland', 'location', '7', 'participate', 'arranging', 'sharp', 'numerous', 'perhaps', 'em', 'embassys', 'crucial', 'luncheon', 'jazz', 'visit', 'possible', 'arrangement', 'dcm', 'result', 'active', 'conversation', 'whole', 'minor', 'naturally', 'requested', 'united', 'tourist', 'band', 'instruments', 'agency', 'events', 'us', 'contrast', 'time', 'first', 'ing', 'tourism', 'impressed', 'formances', 'give', 'interesting', 'commercial', 'idea', 'opportunities', 'ist', 'theberge', 'etc', 'preparations', 'arrangements', 'treatment', 'cooperation', 'cipation', 'services', 'group', 'ref', 'help', 'case', 'marcos', 'less', 'day', 'mission', 'quite', 'see', 'embassy', 'arrive', 'nicaragua', 'gave', 'ated', 'different', 'handle', 'success', 'appeared', 'assist', 'looking', 'thankful', 'second', 'officer', 'way', 'publicity', 'dur', 'stay', 'went', 'previous', 'criticism', 'personal', 'officially', 'nicaragua2', 'able', 'yesterday', 'appointed', 'incomplete', 'members', 'entirely', 'left', 'managua', 'charity', 'use', 'particularly', 'whether', 'housing', 'two', 'charities', 'states', 'equipment', 'benefit', 'understand', 'accompanied', 'neither', 'throughout', 'dr', 'mobilized', 'arrival', 'huge', 'missions', '48', 'junkets', 'performed', 'university', 'never', 'lastminute', 'noted', 'hours', 'became', 'interest', 'remarks', 'difficult', 'national', 'came', 'gon', 'theater', 'would', 'successful', 'failing', 'southern', 'translation', 'louisiana', 'asked', 'bank', 'development', 'received', 'indicated', 'guard', 'regret', 'note', 'commission', 'lousiana', 'somoza', 'assistance', 'massive']"
13,955204,"['dialogue', 'sip', 'unopposed', 'somewhat', 'individual', 'less', 'positions', 'within', 'soon', 'expressed', 'thought', 'current', 'attitude', 'realization', 'granting', 'reestablish', 'juan', 'commerce', 'sector6', 'last', 'uary', 'conep', 'also', 'implementation', 'lic', 'steady', 'guard', 'marked', 'elected', 'discussions', 'dominguez', 'condition', 'movement', 'week', 'move', 'council', 'limited', 'national', 'occurred', 'jan', 'economic', 'position', 'resignation', 'confederation', 'gonzalez', 'return', 'increasing', 'lost', 'surprise', 'difficulty', 'may', 'actions', 'boycott', 'accused', 'carlos', 'significant', 'enterprise', 'mend', 'prompted', 'organizations', 'annual', 'wished', 'amado', 'business', 'government', 'require', 'capac', '3829', 'panamas', 'chamber', 'colombia', 'following', 'fear', 'changes', 'announced', 'conference', 'made', 'likely', 'informal', 'close', 'heading', 'acted', 'manager', 'respected', 'ernesto', 'leading', 'apparent8', 'perez', 'democratic', 'fences', 'focal', 'governments', 'blatantly', 'end', 'members', 'jose', 'panamanian', 'continuing', 'dontrocktheboat', 'possible', 'relations', 'apede', 'exile', 'actively', 'source', 'instead', 'assurances', '22', 'lead', 'nevertheless', 'julydecember', 'days', 'public', 'title', 'stillexiled', 'reputation', 'among', 'social', 'nominees', 'removed', 'collaboration', 'potential', 'credible', 'chirinos', 'official', 'office', 'considerably', 'regional', 'lower', 'antonio', 'membership', 'figured', 'recent', 'scant', 'new', 'panana3', 'apparent', 'engineer', 'full', 'replaces', 'worse', 'point', 'reoccupy', 'slate', 'slump', 'governmental', 'expected', 'president', 'believe', 'association', 'profile', 'chirino7', 'recently', 'appeared', 'january', 'inclined', 'since', 'thus', 'impediments', 'lastra', 'francisco', 'offices', 'businessmen', 'morales', 'organization', 'effectiveness', 'understanding', 'still', 'appear', '17', 'spokesman', '18', 'industrialists', 'expires', 'majority', 'officials', 'friend', 'branch', 'high', 'immediately', 'communication', 'august5', 'panama', 'syndicate', 'sector', 'prime', 'use', 'gustavo', 'candidate', 'whether', 'de', 'june', 'two', 'removal', 'protective', 'election', 'opposition', 'truce', 'efforts', 'predecessors', 'term', 'appointment', 'publicprivate', 'la', 'subsequent', 'away', 'embarrassment', 'well', 'acting', 'private', 'one', '1', 'remained', 'maintain', 'controversial', 'become', 'banco', 'executives', 'j', 'mantle', 'removed4', 'presidents', 'twelvemonth', 'period', 'leadership', 'speculation', 'politicallyoriented', 'local', 'gop', 'recovery', 'iii', 'expulsion', 'summary2', 'ing', 'elect', 'citys', 'summary:', 'engaged', 'civil', 'construction', 'role', 'confrontation', 'signs', 'campaigning', 'toward', 'permitted', 'principal']"
14,957319,"['workers', 'khakwani', 'official', 'pjps', 'general', 'interrogation', 'session', '26272', 'limited', 'national', 'economic', 'party', 'provincial', 'process', 'cited', 'joint', 'law', 'democracy', 'urged', 'figures', 'fear', 'leaders', 'ref', 'likeminded', 'nawabzada', 'passed', 'democratic', 'nasrullah', 'pakistan', 'addressing', 'end', 'condemned', 'conspiracy', 'struggle', 'said', 'masses', 'widescale', 'mk', 'arrests', 'continue', 'moot', 'resolutions', 'pjp', 'prominent', 'real', 'rana', 'working', 'twodary', 'use', 'cooperation', 'meeting', 'recent', 'committees', 'segees', 'rule', 'increase', 'spread', 'president', 'attended', 'june', 'close', 'khan', 'countrys', 'educate', 'asserting', 'opposition', 'reportedly', 'political', 'contact', 'groups', 'situation', 'harassment', 'secretary', 'police', 'rules', '1', 'jamhoori', 'zafrullah', 'establish', 'defense']"
15,958539,"['lucien', 'pas', 'people', 'lack', 'eighty', 'three', 'choir', 'want', 'personally', 'interview', 'associated', 'tananarives', 'jc', '24', 'bicentennial', 'direction', '23', 'ran', 'portee', 'musical', 'coloniser', 'lounge', 'say', 'tananarive', 'translation', 'mankind', 'independ', 'independent', 'national', 'brief', 'collection', 'newlycompleted', 'sont', 'escape', 'scope', 'dream', 'first', 'profitable', 'concert', 'humanitaire', 'ment', 'introductory', 'encored', 'remi', 'comporte', 'randrianarivelo', '25', 'significant', 'penneys', 'america:', 'outlined', 'friday', 'du', 'toujours', 'lumn', 'entiere', 'chance', '26', 'universelle', 'english', 'poussent', 'hundred', 'passer', 'connaitre', 'language', 'french:deux', 'cents', 'june3', 'press', 'article', 'pao', 'leighs', 'filled', 'systeme', 'outline', 'presented', '300', 'penney', 'madagascar', 'liberty', 'sugar', 'applauded', 'performance', 'among', 'continuous', 'us', 'audience', 'un', 'that:', 'mr', 'au', 'checks', 'be4', 'celebration', 'province', 'warmly', 'beirut5', 'title', 'ill', 'published', 'turned', 'reports', 'ne', '4th', 'know', 'prouve', 'july', 'ratsimbazafy', 'colonisateur', 'madagascars', 'member', '975', 'tel', 'conductor', 'exceptional', 'bons', 'choirs', 'le', 'governor', 'unclassified', 'peuple', 'see', '2', 'presse', 'words', 'america', 'overlooked', 'remarked', 'gave', 'revolution', 'co', 'mitch', 'political', 'hairston', 'symphonic', 'free', 'two', 'doit', 'second', 'yoke', 'americaine', 'inapercu', '15', 'universal', 'humanitarian', 'pub', 'les', 'motifs', 'orchestra2', 'qui', 'event', 'malagasy', 'composed', 'given', 'statements', 'motives', 'colonel', 'de', 'june', 'young', 'daily', 'cultural', 'lhumanite', 'background', 'prompt', 'rsc', 'blochs', 'change', 'joug', 'ence', 'sans', 'history', 'la', '950', 'away', 'american', 'one', '1', 'sang', 'maresaka', 'remarks', 'ernest', 'day', 'quun', 'echapper', 'coffeeo', 'french:', 'lished', 'ans', 'jester', 'rain', 'hear', 'coverage', 'copy', 'message', 'songs', 'always', 'system', 'centers', 'meaning', 'space3', 'take', 'years', 'regime', 'matin']"
16,959718,"['0623763', '10411', 'cosgrove4', 'west', 'commercial', 'direct', 'arab', 'facilities', 'hardwares', 'part', 'floorings', 'indents', 'several', 'telephone:', 'nicosia', 'south', 'ref9', 'agency0', '2347', 'distributes', 'telex:', '9a', 'sale', '491', '1', 'pvc', 'cable:', 'represents', 'firms', '49101p0282', 'cyprus5', 'asian', 'firm', 'building', 'states', 'co', 'consider', 'g', 'floor', 'successful', 'successfully', 'domestic', 'united', 'middle', 'base', 'sheets', 'coverings', 'depot', 'cyprus', 'manufactures', '021415898', '30791xx', 'tiles', 'east', 'indent', 'cypriot', 'gulf', 'greek', 'agentimporter', 'sales', 'roller', 'promotes', 'service', 'materials', 'imports', 'distributor', 'using', 'blinds', 'european', 'crawford', 'aid7', 'use8']"
17,960801,"['ossoble', 'station1', 'delay', 'link', 'tender', 'telecommunications', 'plug', 'satellite', 'routinely', 'conferences', '23', 'comment:', 'however', 'much', 'stipulated', 'oportunity', 'posts', 'decision', 'earth', 'etel', 'require', 'foreign', '3o', 'several', 'announced', 'taries', 'tele', 'shining', 'fairly', 'eyes', 'third', 'contribute', 'arrangement', 'without', 'subject:', 'unqte', 'plan', '11652:', 'socialists', 'station', 'know', 'sonna', 'secre', 'na', 'trade', 'qte', 'tech', 'tags:', 'world', 'src', 'progressive', 'countries', 'tspa', 'construction', 'somalia', 'towards', '17', 'communications', 'nicians', 'loughran', 'constructed', 'particularly', 'stated', 'etrd', 'june', 'awarded', 'gsdr', 'minister', 'learn', 'installation', 'abdullahi', 'image', 'somalis', 'unqte2', 'one', 'republic', 'council', 'reached', 'operation', 'establish', 'good', 'would', 'rest', 'project', 'confident', 'forward', 'ground', 'plans', 'state', 'years']"
18,964504,"['wilson', 'de', 'parc', '14', 'la', 'cancelled2', 'june', 'katz', '1', '16', 'reserved', 'muette', 'massenet']"
19,964522,"['effort', 'best', '1', 'also', 'cuwe', 'official', 'criticised', 'recounted', 'department', 'foleys', 'prime', 'consider', 'level', 'request', 'ministers', 'least', 'planning', 'year', 'operate', 'foley', 'irish', 'reciprocal', 'may', 'carriers6', 'ambassadors', 'realize', 'status', 'ambassador', 'ireland3', 'support', 'departure', 'following', 'opinion', 'efforts', 'carried', 'march', 'flow', 'airlines', 'students', 'meet', 'approach', 'acceptable', 'washington', '300', 'addition', 'agreed', 'visit', 'possible', 'allotment', 'ireland', 'cautioned', 'rendahl', 'said', 'places', 'cussion:2', 'criticims', 'showing', 'us', 'believes', 'strict', 'american', 'proposition', 'mr', 'that4', 'cosponsors', 'avail', 'supported', 'offering', 'faith', 'however', 'practical', 'program', 'know', 'let', '250', 'might', 'visitor', 'increase', 'embassy', 'domestic', 'summarize', 'considerations', 'exchange', 'mount', 'percent', 'free', 'state', 'way', 'paragraphs', 'unreasonable5', 'knowing', 'like', 'travel', 'officials', 'ensure', 'student', 'exclusively', 'discuss', 'suggested', 'use', 'evidence', '600', 'basis', 'whether', 'number', 'ciee', 'usits', 'meaningful', 'dis', 'deprtment', 'earlier', 'solicited', 'bicentennial', 'participants', 'reasonable', 'usit', 'reached', 'union', 'told', '200', 'curley', 'good', 'onetoone', 'would', 'almost', 'scholarship', 'receptive', 'received', '60', '1976', 'pointed', 'flights', 'years', 'bureau', 'hope', 'adrian', 'fact']"
20,966339,"['strongly', 'counsel', 'useful', 'deal', 'years3', 'took', 'better', 'likely', 'regulatory', 'manitoba', 'availability', 'nypa', 'fill', 'available', 'direction', '5year', 'terms', 'power', 'come', 'pro', 'million', 'influence', 'behind', 'long', 'general', 're', 'thermal', 'noting', 'shortfall', 'department', 'favoring', 'twoway', 'saying', 'move', 'full', 'proposed', 'supply', 'amounts', 'pouched', 'could', 'period', 'back', 'coal', 'savings', '12', 'quebec', 'position', 'taken', 'party', 'unspeci', 'cause', 'purchases', 'may', 'review', 'annual', 'copies', 'limiting', 'surpluses', 'policies', 'occasion', 'arrangements', 'consumer', 'view', 'advance', 'short', 'return', 'decision', 'outlined', 'hq', 'direct', 'peak', 'report', 'unless', 'aware', 'intervention', 'canada', 'begin', 'made', 'march', 'kissinger', 'author', 'effort', 'company', 'flow', 'major', 'contract', 'transmission', 'appropriate', 'impediment', 'eachequivalent', 'scott', 'must', 'agreed', 'province', 'end', 'around', 'subject', 'generation', 'equivalent', 'arrangement', 'anxious', 'ottawa', 'protection', 'canadians', 'affecting', '20', 'supportive', 'assurances', 'provided', 'negotiated', 'said', 'people', 'year', 'since', 'mw', 'purpose', 'provides', 'time', 'plan', 'nearly', 'real', 'summer', 'energy', 'caused', 'hearings', 'neb', 'however', '60', 'cost', 'new', 'succeeding', 'lilly', 'might', 'case', 'prescribed', 'word', 'mutually', 'contracts', 'appreciated', 'negotiating', 'unclassified', 'ny', '1500', 'embassy', 'favorable', 'primarily', '6', 'gesture7', 'still', 'concerned', 'viewed', 'higher', 'davison', 'get', 'assist', 'vine', 'factory', 'contract5', 'discussions', 'york', 'need', 'previous', 'satis', 'exports', 'john', 'winter', 'advantage', 'whenever', 'conditions', 'intervene', 'ensure', 'ity', 'substantially', 'counterproductive', 'fallen', 'usg', 'given', 'attention', 'complete', 'whether', 'dollars', 'material', 'june', 'make', 'agreement', 'facilities', 'us', 'opinion', 'situation', 'cess', 'hydro', 'meant', 'realized', 'surplus', 'indicated', 'completed', 'explained', 'informed', 'expectations', 'improper', '1', '7month', 'amount', 'arise', 'helpful6', 'fied', 'called', 'came', 'firm', 'ambassador', 'ontario', 'would', 'buchanan', 'alternatives', 'goc', 'potential', 'allow', 'wanted', 'alter', 'essential', 'concluded', 'city', 'right', 'internally', 'associate', '1976', 'price', 'months', 'to4', 'suggested', 'oppose', '800', 'entities', 'revision']"
